Timestamp,CHP1Temp1(Deg C),CHP1Temp2(Deg C),CHP2Temp1(Deg C),CHP2Temp2(Deg C),CHP1Vib1(mm/s),CHP1Vib2(mm/s),CHP2Vib1(mm/s),CHP2Vib2(mm/s),Fault
3/10/2018 0:00,39.370909,38.637728,40.846605,39.782834,0.060756,0.066139,0.087974,0.09737,0
3/10/2018 0:00,39.390616,38.651286,40.884015,39.805669,0.070343,0.064768,0.094204,0.111891,0
3/10/2018 0:00,39.403041,38.659552,40.926061,39.817418,0.053073,0.053162,0.085925,0.088741,0
3/10/2018 0:00,39.420096,38.677405,40.966947,39.839593,0.059945,0.061724,0.08883,0.100587,0
3/10/2018 0:00,39.430529,38.678065,41.008001,39.849687,0.072104,0.060607,0.089137,0.106438,0
3/10/2018 0:00,39.450736,38.68468,41.052034,39.868387,0.059159,0.062861,0.094467,0.104697,0
3/10/2018 0:01,39.456698,38.700385,41.101362,39.898176,0.074858,0.065495,0.078645,0.106096,0
3/10/2018 0:01,39.469283,38.713279,41.141092,39.916707,0.06761,0.059221,0.087811,0.100119,0
3/10/2018 0:01,39.490149,38.716254,41.179494,39.940702,0.06147,0.061289,0.084524,0.09585,0
3/10/2018 0:01,39.505885,38.72766,41.210946,39.945337,0.067641,0.068847,0.083375,0.099784,0
3/10/2018 0:01,39.531718,38.736258,41.246702,39.965856,0.065923,0.06517,0.087593,0.09843,0
3/10/2018 0:01,39.556559,38.73973,41.292058,39.999116,0.069333,0.057236,0.083219,0.099041,0
3/10/2018 0:02,39.573787,38.741713,41.318216,40.013181,0.070405,0.05533,0.08809,0.105641,0
3/10/2018 0:02,39.599288,38.75064,41.3495,40.031385,0.060145,0.058267,0.096937,0.107362,0
3/10/2018 0:02,39.636386,38.754939,41.381616,40.05935,0.05837,0.059019,0.084066,0.100369,0
3/10/2018 0:02,39.665202,38.761882,41.41522,40.082189,0.056395,0.058553,0.081526,0.087369,0
3/10/2018 0:02,39.700644,38.75841,41.447996,40.089799,0.066462,0.060889,0.090851,0.101155,0
3/10/2018 0:02,39.706439,38.768328,41.478948,40.105356,0.062407,0.065377,0.083569,0.10914,0
3/10/2018 0:03,39.719523,38.786845,41.517686,40.111146,0.070378,0.058001,0.095015,0.094006,0
3/10/2018 0:03,39.743205,38.783706,41.543676,40.125047,0.061516,0.061506,0.082869,0.107164,0
3/10/2018 0:03,39.763743,38.786845,41.578271,40.157647,0.066794,0.077526,0.094507,0.10206,0
3/10/2018 0:03,39.778647,38.795935,41.606576,40.172872,0.066178,0.058535,0.082082,0.106167,0
3/10/2018 0:03,39.785933,38.798415,41.633561,40.18131,0.057889,0.062207,0.090236,0.092114,0
3/10/2018 0:03,39.802329,38.808169,41.660375,40.203981,0.066986,0.058049,0.083949,0.102248,0
3/10/2018 0:04,39.815081,38.807013,41.691995,40.223672,0.070928,0.066047,0.078482,0.106529,0
3/10/2018 0:04,39.837603,38.819907,41.715997,40.251638,0.063018,0.068032,0.092202,0.120884,0
3/10/2018 0:04,39.863108,38.824206,41.744966,40.250978,0.066417,0.066945,0.091782,0.100628,0
3/10/2018 0:04,39.895072,38.821727,41.770955,40.268518,0.066893,0.070522,0.091684,0.112469,0
3/10/2018 0:04,39.913951,38.826026,41.807538,40.263719,0.059662,0.055707,0.085022,0.098715,0
3/10/2018 0:05,39.926703,38.828009,41.83452,40.271993,0.069811,0.066188,0.090948,0.106735,0
3/10/2018 0:05,39.948897,38.833464,41.862001,40.275136,0.065614,0.06094,0.085484,0.099045,0
3/10/2018 0:05,39.972247,38.839579,41.895273,40.289697,0.059855,0.067947,0.09195,0.100929,0
3/10/2018 0:05,39.979369,38.839415,41.909673,40.289201,0.068873,0.063186,0.086026,0.094846,0
3/10/2018 0:05,39.999076,38.854461,41.936986,40.30277,0.065775,0.064645,0.083012,0.100587,0
3/10/2018 0:05,40.017127,38.849334,41.957677,40.303598,0.05403,0.064595,0.083206,0.099789,0
3/10/2018 0:06,40.031535,38.857104,41.982507,40.304426,0.069663,0.058837,0.091844,0.105933,0
